Zulassungsnr,GHS
028972-00,"Enthält 1,3,5-Triazin-1,3,5 (2H,4H,6H)-triethanol. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
035671-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
060122-77,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
060122-82,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
060122-94,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen.."
00A579-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Schädlich für Wasserorganismen, mit langfristiger Wirkung."
005950-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
024780-67,"Enthält Raffiniertes Pyrethrum Konzentrat (CAS-Nr. 89997-63-7). Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
026488-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00A584-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
026865-61,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
034837-61,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
024128-00,N/A
024778-00,N/A
00A415-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
008818-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Verursacht Hautreizungen.
Kann allergische Hautreaktionen verursachen.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
006275-62,N/A
027821-65,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
060122-85,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
007818-60,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
044622-60,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
008201-61,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
025625-00,N/A
00A494-60,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
006339-60,N/A
033141-00,N/A
006331-60,N/A
008659-60,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Kann allergische Hautreaktionen verursachen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00A456-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
00A096-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
006945-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
026978-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
00A421-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Verursacht Hautreizungen."
02A421-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
027233-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Schädlich für Wasserorganismen, mit langfristiger Wirkung."
060122-90,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
008838-65,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
008837-63,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
008288-61,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
007958-62,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
008986-60,"Enthält lambda-Cyhalothrin. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
006860-62,"Giftig für Wasserorganismen, mit langfristiger Wirkung."
024034-62,N/A
006911-00,N/A
034837-60,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
006306-00,N/A
034409-64,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
008663-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
008662-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
060122-68,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
008309-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
005686-60,N/A
006331-00,N/A
006339-00,N/A
034496-62,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
060122-73,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
008662-60,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
008407-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
007547-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
008288-62,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00A596-00,"Enthält 1,3,5-Triazin-1,3,5 (2H,4H,6H)-triethanol. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
060122-89,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
026923-61,"Enthält Reaktionsprodukte von 1H-Imidazol-1-ethanol, 4,5-Dihydro, 2-(C11-17 und C17 ungesättigte Alkyl)-Derivaten und Acrylsäure. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Schädlich für Wasserorganismen, mit langfristiger Wirkung."
060122-62,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
00A853-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
027207-60,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
033231-00,N/A
043753-00,N/A
00A152-00,"Enthält Isocyanate. Kann allergische Reaktionen hervorrufen.
Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
025090-64,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
006860-63,"Giftig für Wasserorganismen, mit langfristiger Wirkung."
024436-69,"Enthält Azadirachtin. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
024436-70,"Enthält Azadirachtin. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
024436-93,"Enthält Azadirachtin. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
024080-62,"Enthält Bacillus thuringiensis ssp. kurstaki Stamm HD-1. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Kann allergische Hautreaktionen verursachen."
006788-65,"Enthält 5-Chlor-2-methyl- 3(2H)isothiazolon, Mischung mit 2-Methyl-3(2H)-isothiazolon im Verhältnis 3:1. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
024785-75,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
024785-76,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
008252-60,"Enthält 5-Chloro-2-methyl-1, 2-thiazol-3(2H)-on/2-Methyl-1,2-thiazol-3(2H)-on (3:1-Mix). Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
008694-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
00A001-60,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
008252-00,"Enthält 5-Chloro-2-methyl-1, 2-thiazol-3(2H)-on/2-Methyl-1,2-thiazol-3(2H)-on (3:1-Mix). Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
024785-77,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
00B017-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Schädlich für Wasserorganismen, mit langfristiger Wirkung."
007865-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
006851-00,N/A
024034-61,N/A
007180-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00A129-00,"Enthält 5-Chlor-2-methyl-4-isothiazolin-3-on und 2-methyl-2H-isothiazol-3-on (3:1). Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00A129-60,"Enthält 5-Chlor-2-methyl-4-isothiazolin-3-on und 2-methyl-2H-isothiazol-3-on (3:1). Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
005950-60,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
008414-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
02A280-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
006903-00,N/A
00B297-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
02A417-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
008603-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
024440-00,N/A
060122-76,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
024218-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
006968-00,"Enthält Propyl-3,4,5-trihydroxybenzoat. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
034676-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Enthält hydriertes Kolophonium. Kann allergische Reaktionen
Enthält Harzsäuren und Kolophoniumsäuren, Calciumsalze. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
008516-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
008105-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00B119-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
008993-00,"Enthält Pendimethalin. Kann allergische Reaktionen hervorrufen.
Enthält Flufenacet. Kann allergische Reaktionen hervorrufen.
Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
005338-60,N/A
00A425-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
007825-00,"Enthält R-p-Mentha-1,8-dien (d-Limonen). Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
00A494-61,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
033141-61,N/A
006339-61,N/A
006331-61,N/A
008467-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
043743-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
008113-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
025625-63,N/A
024270-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
008589-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
026682-62,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
025090-60,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
026682-60,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
007525-00,"Enthält Tallölfettsäureamidoamine. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
00A560-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
006766-00,N/A
00A400-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
007958-63,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00B076-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Kann allergische Hautreaktionen verursachen.
Verursacht schwere Augenschäden.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
00B282-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
060122-59,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
043743-62,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
043743-64,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
024436-64,"Enthält Azadirachtin. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
024213-71,N/A
024213-72,N/A
008016-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
024213-67,N/A
043743-65,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
024213-68,N/A
024213-64,N/A
00A905-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
043743-63,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
024213-69,N/A
043743-66,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
024213-70,N/A
043743-67,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
024213-65,N/A
024436-68,"Enthält Azadirachtin. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
024436-00,"Enthält Azadirachtin. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
025956-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
026682-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
027744-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
034210-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
005314-61,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Enthält 5-Chlor-2-methyl-2H-isothiazol-3-on und 2-Methyl-2H-isothiazol-3-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
008384-60,"Enthält Nicosulfuron. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
008384-00,"Enthält Nicosulfuron. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
034409-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
005945-60,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Verursacht Hautreizungen.
Kann allergische Hautreaktionen verursachen.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00B156-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
006447-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
006281-61,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
005338-62,N/A
00A533-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
007481-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
008113-60,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
025287-65,N/A
008464-60,"Enthält Propamocarb-(hydrochlorid). Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
008541-60,"Enthält Propamocarb-(hydrochlorid). Kann allergische Reaktionen hervorrufen.
Enthält Cymoxanil. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Kann vermutlich die Fruchtbarkeit beeinträchtigen. Kann vermutlich das Kind im Mutterleib schädigen.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
00A900-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Enthält tiefkaltes Gas; kann Kälteverbrennungen oder -Verletzungen verursachen."
060122-58,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
00A973-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00A191-60,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
030526-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Enthält 2-Methyl-2H-isothiazol-3-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Giftig für Wasserorganismen, mit langfristiger Wirkung."
004788-00,N/A
